azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
84,18.76693433698788,-105.18814810977184,0.05897115430712345,0.0007833325893698091,(0.23065235082476385-0.07596477714134045j),(0.0014847935129032042+0.027948666830348988j),5.6
86,18.87525691942689,-104.78608436225402,0.05866894233027529,0.0007601207128840563,(0.22985008627160297-0.07640602182558626j),(0.0017319149955213956+0.027515835137831898j),5.6
88,18.970591781532125,-104.32075901094535,0.05804408039452961,0.0007356966132794449,(0.228405432807712-0.07664880076329557j),(0.0020006931429252597+0.027049839929790653j),5.6
90,19.052685514046356,-103.78689243634409,0.057107869474911505,0.000710276435978698,(0.22633252950243446-0.07669064847777166j),(0.002291080041535158+0.02655235183975192j),5.6
92,19.121206796838376,-103.17820151219506,0.05587640314680393,0.0006840813688141641,(0.22365050634258626-0.0765300866294342j),(0.0026031675039758853+0.02602508189728532j),5.6
94,19.175730663110006,-102.48735784640084,0.05437013128970193,0.000657335845122706,(0.22038322160585577-0.0761667048278065j),(0.0029371848417581725+0.025469762274667032j),5.6
96,19.21571874239118,-101.70595210893373,0.05261332247896017,0.0006302659624910149,(0.21655894155006367-0.07560123883691507j),(0.0032934944456617515+0.024888126824399826j),5.6
98,19.240494769473976,-100.82447056426676,0.05063344440751958,0.000603098148094574,(0.21220996901922098-0.07483564295428242j),(0.0036725852228351383+0.02428189172769673j),5.6
100,19.249214632030814,-99.83229240306343,0.04846048394794121,0.0005760580947260356,(0.20737222851674347-0.07387315336399781j),(0.004075063983998983+0.023652736591192783j),5.6
102,19.24083031037313,-98.71771970793388,0.04612622976465584,0.0005493699837693305,(0.2020848160435296-0.07271833942898213j),(0.004501644923933193+0.02300228633740909j),5.6
104,19.21404730705493,-97.4680559738223,0.04366354069883315,0.0005232560027826403,(0.19638952252370823-0.07137714019028124j),(0.004953137391443714+0.02233209423148941j),5.6
106,19.167275669796698,-96.0697539896524,0.04110562250834431,0.0004979361563766682,(0.19033033993186899-0.06985688376791166j),(0.005430432198806075+0.021643626371540384j),5.6
108,19.09857561012781,-94.50865926546975,0.038485334035642464,0.00047362836014169573,(0.1839529592888951-0.06816628788851982j),(0.005934486771832642+0.020938247942381406j),5.6
110,19.005600172126623,-92.77038027182321,0.035834541619802256,0.0004505487989615493,(0.17730426951356404-0.06631544037449873j),(0.006466309487018762+0.020217211493666492j),5.6
112,18.885539573713924,-90.84081999505302,0.03318353771861177,0.0004289125236336121,(0.17043186571644742-0.06431575908766543j),(0.007026943578378977+0.01948164745548719j),5.6
114,18.735074832013126,-88.70690207440741,0.030560536435271346,0.0004089342536930039,(0.16338357492169128-0.062179931497866985j),(0.007617451020757261+0.018732557050209882j),5.6
116,18.550352023285253,-86.35751518058272,0.02799125513206213,0.0003908293500393427,(0.15620700642711247-0.05992183471108149j),(0.008238896806081586+0.017970807701883664j),5.6
118,18.326992587418612,-83.78467642356757,0.025498587737558878,0.00037481491856905286,(0.14894913309535499-0.057556437413212945j),(0.008892334022840134+0.017197130987327294j),5.6
120,18.060158458225757,-80.98487377197966,0.02310237187864648,0.0003611110055505524,(0.14165590884318577-0.055099685738282764j),(0.009578790125683821+0.01641212311916574j),5.6
122,17.74469174472793,-77.96048702295627,0.02081924873711796,0.00034994184680308776,(0.1343719264997403-0.05256837553003083j),(0.010299254741714108+0.015616247903013296j),5.6
124,17.375344874352272,-74.72111236834613,0.01866261165932181,0.0003415371355583632,(0.1271401190738751-0.04998001381755185j),(0.011054669303086559+0.014809842070655546j),5.6
126,16.947106334052023,-71.28454448945448,0.016642637122533263,0.0003361332777627413,(0.12000150634186124-0.047352672556229554j),(0.011845918723692367+0.013993122859262545j),5.6
128,16.455608780989568,-67.67713288460318,0.014766389738296344,0.0003339746079717911,(0.11299498757212664-0.04470483779045944j),(0.01267382525290063+0.013166197683109934j),5.6
130,15.89758305944019,-63.9332622451154,0.013037991575012519,0.00033531454331408575,(0.10615718017241725-0.042055257374714286j),(0.013539144544817805+0.01232907572807532j),5.6
132,15.2713005065958,-60.093834502871964,0.011458845205656348,0.00034041665665110736,(0.09952230310055785-0.03942279025154162j),(0.014442563880628347+0.011481681288255515j),5.6
134,14.576936436446442,-56.203841907768144,0.010027899503498874,0.0003495556525040928,(0.09312210304172994-0.0368262600406871j),(0.01538470237878748+0.010623868656013382j),5.6
136,13.816797475475767,-52.30935859128611,0.008741947271259239,0.00036301823013223315,(0.08698582063554225-0.0342843153587834j),(0.016366112927764884+0.009755438368821787j),5.6
138,12.9953846911373,-48.454454649586694,0.0075959442349565025,0.00038110381707945714,(0.08114019344254317-0.03181529888376312j),(0.017387285483764118+0.008876154605770601j),5.6
140,12.1193038205593,-44.67857704476121,0.006583339691228065,0.0004041251535282052,(0.07560949187432514-0.029437126723483448j),(0.018448651296751734+0.007985763511341035j),5.6
142,11.197068205892215,-41.014827374819234,0.005696410089901897,0.00043240870310749216,(0.07041558397119355-0.02716717916710689j),(0.019550587567137262+0.007084012202642657j),5.6
144,10.238856153474421,-37.48934646173951,0.004926587985954069,0.000466294859857732,(0.06557802469058097-0.025022203412881562j),(0.020693421997463803+0.006170668188503834j),5.6
146,9.256277650053237,-34.1217738464342,0.0042647800337578855,0.0005061379145243615,(0.06111416525774882-0.02301822839852042j),(0.02187743669214376+0.005245538895633457j),5.6
148,8.262180222048034,-30.926558110293954,0.003701668955530828,0.0005523057370983435,(0.05703927811739314-0.021170491429759106j),(0.02310287087653064+0.004308490960962537j),5.6
150,7.27048998178268,-27.914779980923925,0.0032279956370498118,0.0006051791274947183,(0.05336669309694303-0.019493375924823912j),(0.024369921955351367+0.0033594689140996146j),5.6
152,6.29605172673828,-25.096102399730583,0.0028348186391216603,0.0006651507834299705,(0.050107940537334986-0.01800035928054106j),(0.025678744509162087+0.002398512844065776j),5.6
154,5.354409406625901,-22.480452879599692,0.002513749425348695,0.0007326238347891789,(0.04727289735161499-0.016703969627976704j),(0.027029446933028663+0.0014257746258670295j),5.6
156,4.461461396431957,-20.079059792723104,0.0022571624685789895,0.0008080098977152709,(0.044869932224228734-0.015615750086758872j),(0.028422085549110007+0.00044153228006912036j),5.6
158,3.6329384671957436,-17.90452180001133,0.002058380093368171,0.0008917266096364109,(0.04290604645309128-0.014746229047907256j),(0.02985665616701189-0.0005537979426125592j),5.6
160,2.8836883879988733,-15.969728830690247,0.001911832432649759,0.0009841946184157263,(0.04138700725286059-0.014104895012066678j),(0.03133308321394318-0.0015596521162869192j),5.6
162,2.226806456158305,-14.2857067327199,0.0018131932248992805,0.0010858340142509398,(0.04031747067281784-0.013700174577199888j),(0.03285120670061917-0.0025753121294581566j),5.6
164,1.672713903337081,-12.858802250443329,0.0017594923619158865,0.0011970602109419037,(0.03970109162905468-0.013539412298075976j),(0.03441076741812585-0.0035999023094456205j),5.6
166,1.2283355750075948,-11.687946385385935,0.001749206131446334,0.0013182793023700592,(0.03954061890221706-0.013628851319020564j),(0.036011390865418755-0.004632389265605129j),5.6
168,0.8965420361458414,-10.762857142555617,0.0017823260023793683,0.0014498829389300238,(0.039837973303850624-0.013973613899813237j),(0.03765257047812218-0.005671584903716582j),5.6
170,0.6759858077130907,-10.063836955799681,0.0018604065956959375,0.00159224278554953,(0.04059430756274575-0.014577681200970909j),(0.039333650760431826-0.006716152425750238j),5.6
172,0.5613817849558849,-9.56332020856713,0.001986593196539608,0.0017457046362665124,(0.041810046824641026-0.015443871958188892j),(0.04105381091014798-0.007764614994983796j),5.6
174,0.5441827896059892,-9.228750448697939,0.0021656288177824517,0.001910582268798579,(0.043484908993389144-0.01657381994650345j),(0.042812049472409006-0.00881536662712236j),5.6
176,0.6135174248128011,-9.025989120138899,0.002403840449874781,0.002087151125359107,(0.04561790446892586-0.017967950404504565j),(0.044607170465251665-0.00986668477468932j),5.6
178,0.7572171565938169,-8.922427754615892,0.002709103752173155,0.0022756419029410966,(0.048207315158961095-0.019625455850444708j),(0.046437771297526846-0.01091674401365577j),5.6
180,0.9627710279667955,-8.889239961676193,0.003090785083553262,0.002476234127930118,(0.05125065296031071-0.021544271969483154j),(0.04830223265826334-0.011963630224857212j),5.6
182,1.2180961102464134,-8.902584093410463,0.0035596594605867447,0.0026890497774391346,(0.05474459822654419-0.02372105447911199j),(0.05019871040970231-0.013005354691125485j),5.6
184,1.5120748616258275,-8.943875343130514,0.004127802794896776,0.0029141469949706357,(0.05868491906621114-0.026151158083133216j),(0.052125129377758754-0.01403986760345507j),5.6
186,1.8348647099729674,-8.999404876807978,0.004808456621763197,0.0031515139331795144,(0.06306637265582496-0.028828618797989827j),(0.054079178817595885-0.015065070580452086j),5.6
188,2.178019001933701,-9.059604837304377,0.005615863512885275,0.003401062744032433,(0.06788259010864983-0.03174614107299199j),(0.0560583092495428-0.0160788279459374j),5.6
190,2.5344715490905574,-9.11819822417375,0.006565071489288732,0.003662623728864418,(0.07312594681748547-0.03489509122118781j),(0.058059730320252495-0.017078976667352475j),5.6
192,2.8984352136279368,-9.17138760911937,0.007671706035413917,0.003935939659670709,(0.07878742058765173-0.03826549872350272j),(0.06008040935002785-0.018063335018866165j),5.6
194,3.265255467911678,-9.217160947393607,0.008951708778944929,0.00422066028969907,(0.08485644029268935-0.04184606695733993j),(0.06211707027906975-0.019029710182874034j),5.6
196,3.6312482040353316,-9.254739493547604,0.010421042554911018,0.004516337086503387,(0.09132072821329192-0.045624194825827774j),(0.06416619281830827-0.019975905128606128j),5.6
